,name,screen_name,statuses_count,followers_count
0,橋下徹,@hashimoto_lo,28408,2687437
1,国民民主党,@DPFPnews,17157,56339
2,国民民主党栃木県総支部連合会,@dp_tochigi,8369,911
3,国民民主党東京都連,@dpfptokyo,5419,1632
4,超国民民主党滋賀県連★ミ,@dpfp_shiga,4320,949
5,国民民主党山形県連,@gokokuminymgt,3442,1064
6,国民民主党北海道総支部連合会,@KokuminHokkaido,3307,1128
7,国民民主党和歌山県総支部連合会,@minshuwakayama,2909,823
8,国民民主党島根県総支部連合会,@dpfp_shimane,2563,924
9,国民民主党大分県連,@KokuminOita,956,573
10,国民民主党・大阪府連,@kokumin_osaka,899,1255
11,国民民主党福島県総支部連合会,@dpfp_fukushima,719,588
12,国民民主党 千葉県総支部連合会,@kokumin_chiba,684,393
13,国民民主党茨城県連,@kokuminibaraki,664,306
14,国民民主党神奈川県総支部連合会,@kokumin_kng,624,792
15,国民民主党福岡県連,@kokumin_fukuoka,492,652
16,国民民主党香川県総支部連合会,@kagawakokumin,492,852
17,国民民主党愛知県総支部連合会,@kokumin_aichi_,454,629
18,国民民主党山梨県連,@minshin_y,435,591
19,国民民主党福井県総支部連合会,@kokumin_fukui,348,462
20,国民民主党宮崎県連_第1区総支部@宮崎市,@dpfpmiyazaki1,274,704
21,国民民主党長崎県連,@kokumin_ngsk,243,818
22,国民民主党徳島県総支部連合会,@kokumin_tks,167,574
23,国民民主党とやま,@kokumin_toyama,148,63
24,国民民主党宮崎県連（公式）🐰🥭,@kokumin_myzk,86,360
25,国民民主党三重県連,@kokumin_mie,53,208
26,国民民主党山口県連,@kokumin_ymgc,49,340
27,国民新潟,@n7e0jof,46,92
28,国民民主党 奈良県総支部連合会,@newkokuminnara,12,120
29,国民民主党岡山県総支部連合会,@kokumin_okayama,11,91
30,国民民主党鹿児島県総支部連合会,@dpj_kagoshima,10,223
31,京都の国民民主党🔥,@kokumin_kyoto,0,128
